Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3894.27220196922
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,60729.4503486794
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,6990.93550262041
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,3586.34730171843
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1577.91174726099
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3224.42255131214
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,10160.7832470071
Laos,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2593.35509719847
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1477.45287032594
Brunei,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,27179.4119853371
East Timor,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1660.30833959898
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/22/2022,,,,
