country,country_code,access_to_electricity_2020,gdp_per_capita_2020
Indonesia,IDN,96.9499969482422,3870.55761979249
Singapore,SGP,100,60729.4503486794
Thailand,THA,100,7158.76668372256
Vietnam,VNM,100,3526.27457939624
Cambodia,KHM,86.4000015258789,1547.51138764424
Philippines,PHL,96.8423843383789,3301.21860257673
Malaysia,MYS,100,10412.3476677499
Laos,LAO,100,2608.98283307549
Myanmar,MMR,70.3971939086914,1450.66267347182
Brunei,BRN,100,27442.95382794
East Timor,TLS,96.1233139038086,1442.73073825015







