Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.60554514769878
Myanmar,MMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-17.9847423373262
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.02638936277746
Timor-Leste,TLS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.39999845848935
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.69124011191289
Lao PDR,LAO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.52835100103448
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.13258966090125
Philippines,PHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.70315596840621
Singapore,SGP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.61396261502647
Thailand,THA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.5662953378874
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.58892450154917
